chr	start	stop	centre	dist
chr1	37058596	37058821	37058708.5	-417755.5
chr1	37142098	37142337	37142217.5	-334246.5
chr1	37186875	37187315	37187095.0	-289369.0
chr1	37466552	37466812	37466682.0	-9782.0
chr1	37476315	37476588	37476451.5	-12.5
chr1	37957205	37957538	37957371.5	35463.5
chr1	37988681	37989021	37988851.0	66943.0
chr1	38115292	38115686	38115489.0	-71054.0
chr1	38958889	38959172	38959030.5	20644.5
chr1	39447763	39448046	39447904.5	23060.5
chr1	39959543	39960015	39959779.0	-66339.0
chr1	39980564	39980906	39980735.0	-45383.0
chr1	40825529	40825771	40825650.0	-21823.0
chr1	40854242	40854489	40854365.5	6892.5
chr1	40963657	40964026	40963841.5	116368.5
chr1	41197395	41197735	41197565.0	350092.0
chr1	41867254	41867467	41867360.5	1019887.5
chr1	42300304	42300524	42300414.0	-607676.5
chr1	42493424	42493849	42493636.5	-414454.0
chr1	42913277	42913501	42913389.0	5298.5
chr1	42971952	42972173	42972062.5	63972.0
chr1	42974723	42975179	42974951.0	66860.5
chr1	43167475	43167687	43167581.0	18311.0
chr1	43913326	43913669	43913497.5	-245532.0
chr1	43998307	43998675	43998491.0	-160538.5
chr1	44121570	44121773	44121671.5	-37358.0
chr1	44224930	44225133	44225031.5	20172.5
chr1	44230852	44231093	44230972.5	26113.5
chr1	44286005	44286153	44286079.0	81220.0
chr1	45370891	45371089	45370990.0	-511231.0
chr1	45464531	45464842	45464686.5	-417534.5
chr1	45488822	45489064	45488943.0	-393278.0
chr1	45631935	45632359	45632147.0	-250074.0
chr1	45873798	45874017	45873907.5	-8313.5
chr1	45882094	45882296	45882195.0	-26.0
chr1	47133230	47133859	47133544.5	223327.5
chr1	47545494	47545803	47545648.5	635431.5
chr1	47884112	47884476	47884294.0	974077.0
chr1	47890961	47891308	47891134.5	980917.5
chr1	47986613	47986935	47986774.0	1076557.0
chr1	48709437	48709798	48709617.5	1799400.5
chr1	48735193	48735493	48735343.0	1825126.0
chr1	49459539	49459760	49459649.5	-2075466.0
chr1	49991491	49992031	49991761.0	-1543354.5
chr1	50456974	50457282	50457128.0	-1077987.5
chr1	50709177	50709405	50709291.0	-825824.5
chr1	50761526	50761852	50761689.0	-773426.5
chr1	51390862	51391097	51390979.5	-144136.0
chr1	51565931	51566319	51566125.0	29.0
chr1	51672424	51672642	51672533.0	106437.0
chr1	51695813	51696018	51695915.5	129819.5
chr1	51744874	51745047	51744960.5	178864.5
chr1	51760979	51761277	51761128.0	195032.0
chr1	51988373	51988815	51988594.0	-182027.0
chr1	52184276	52184594	52184435.0	13814.0
chr1	52203485	52203724	52203604.5	32983.5
chr1	52206831	52207171	52207001.0	36380.0
chr1	52273717	52273895	52273806.0	103185.0
chr1	52288790	52290619	52289704.5	119083.5
chr1	52336228	52336506	52336367.0	165746.0
chr1	52359486	52359696	52359591.0	188970.0
chr1	52586844	52587130	52586987.0	29812.0
chr1	52705075	52705250	52705162.5	-78807.0
chr1	52805218	52805400	52805309.0	21339.5
chr1	52901531	52902177	52901854.0	-6.5
chr1	52910976	52911172	52911074.0	9213.5
chr1	52921163	52921380	52921271.5	19411.0
chr1	53110002	53110263	53110132.5	208272.0
chr1	53239422	53239736	53239579.0	337718.5
chr1	53266983	53267345	53267164.0	365303.5
chr1	53638144	53638836	53638490.0	-669096.5
chr1	53692509	53692861	53692685.0	-614901.5
chr1	53806768	53807152	53806960.0	-500626.5
chr1	53880538	53880969	53880753.5	-426833.0
chr1	54096020	54096223	54096121.5	-211465.0
chr1	54109662	54110074	54109868.0	-197718.5
chr1	54307313	54308097	54307705.0	118.5
chr1	54441089	54441451	54441270.0	133683.5
chr1	54541453	54542237	54541845.0	234258.5
chr1	54608675	54608858	54608766.5	301180.0
chr1	54793852	54794043	54793947.5	-165905.0
chr1	54848312	54848660	54848486.0	-111366.5
chr1	54987548	54987918	54987733.0	27880.5
chr1	55139050	55139300	55139175.0	29540.5
chr1	55192775	55193005	55192890.0	4658.5
chr1	55243768	55244011	55243889.5	55658.0
chr1	55296225	55296403	55296314.0	108082.5
chr1	55793301	55793504	55793402.5	-210450.5
chr1	56017218	56017392	56017305.0	13452.0
chr1	56023182	56023473	56023327.5	19474.5
chr1	56252156	56252370	56252263.0	248410.0
chr1	56838895	56839270	56839082.5	-13.0
chr1	56901402	56901818	56901610.0	62514.5
chr1	56995161	56995643	56995402.0	156306.5
chr1	57152468	57152744	57152606.0	-311076.5
chr1	57262541	57262757	57262649.0	-201033.5
chr1	57485822	57486039	57485930.5	22248.0
chr1	57663813	57664137	57663975.0	200292.5
chr1	58088131	58088354	58088242.5	-361719.5
chr1	58169721	58170095	58169908.0	-280054.0
chr1	58619433	58619597	58619515.0	-23608.0
chr1	58729005	58729312	58729158.5	86035.5
chr1	58946675	58947049	58946862.0	-83626.0
chr1	59014792	59015168	59014980.0	-15508.0
chr1	59513697	59514034	59513865.5	-25042.5
chr1	59754443	59755051	59754747.0	215839.0
chr1	60111620	60111792	60111706.0	-125643.5
chr1	60209651	60209837	60209744.0	-27605.5
chr1	60485830	60486078	60485954.0	19488.0
chr1	60489260	60489717	60489488.5	23022.5
chr1	60504038	60504261	60504149.5	37683.5
chr1	60591874	60592047	60591960.5	125494.5
chr1	60600599	60600815	60600707.0	134241.0
chr1	60879861	60880151	60880006.0	413540.0
chr1	60896034	60896357	60896195.5	429729.5
chr1	61158570	61158747	61158658.5	692192.5
chr1	61238016	61238241	61238128.5	771662.5
chr1	61817878	61818140	61818009.0	1351543.0
chr1	62013799	62014006	62013902.5	-1209476.0
chr1	62747661	62748059	62747860.0	-475518.5
chr1	63010947	63011191	63011069.0	-212309.5
chr1	63272513	63272817	63272665.0	44881.5
chr1	63656320	63656483	63656401.5	-120692.5
chr1	64162306	64162509	64162407.5	385313.5
chr1	64571235	64571553	64571394.0	-8282.0
chr1	64702043	64702326	64702184.5	-35230.5
chr1	64716049	64716436	64716242.5	-21172.5
chr1	64741722	64742098	64741910.0	4495.0
chr1	64751899	64752120	64752009.5	14594.5
chr1	65056790	65057036	65056913.0	53575.5
chr1	65059349	65059656	65059502.5	56165.0
chr1	65114395	65114778	65114586.5	111249.0
chr1	65259774	65260251	65260012.5	26823.0
chr1	65329429	65329657	65329543.0	96353.5
chr1	65376276	65376572	65376424.0	143234.5
chr1	66151902	66152027	66151964.5	-711655.5
chr1	66220099	66220575	66220337.0	-643283.0
chr1	66269919	66270229	66270074.0	-593546.0
chr1	66433350	66433628	66433489.0	-430131.0
chr1	66885177	66885346	66885261.5	21641.5
chr1	66987457	66987846	66987651.5	77872.0
chr1	67085120	67085615	67085367.5	16.5
chr1	67107910	67108342	67108126.0	22775.0
chr1	67190612	67190787	67190699.5	105348.5
chr1	67227831	67228048	67227939.5	142588.5
chr1	67354167	67354532	67354349.5	268998.5
chr1	67687022	67687221	67687121.5	601770.5
chr1	68799434	68799682	68799558.0	-806904.0
chr1	69111767	69111949	69111858.0	-494604.0
chr1	69211835	69212067	69211951.0	-394511.0
chr1	69288410	69288601	69288505.5	-317956.5
chr1	69506505	69506958	69506731.5	-99730.5
chr1	69836919	69837120	69837019.5	230557.5
chr1	69873319	69873957	69873638.0	267176.0
chr1	69914332	69914692	69914512.0	308050.0
chr1	70833824	70834032	70833928.0	-115158.0
chr1	70853203	70853680	70853441.5	-95644.5
chr1	71081848	71082516	71082182.0	117066.0
chr1	71336170	71336400	71336285.0	371169.0
chr1	71553846	71554279	71554062.5	588946.5
chr1	71578156	71578561	71578358.5	613242.5
chr1	71719886	71720540	71720213.0	-552766.5
chr1	72188529	72188901	72188715.0	-84264.5
chr1	72251706	72252039	72251872.5	-21107.0
chr1	72260484	72260884	72260684.0	-12295.5
chr1	72765496	72765737	72765616.5	-271957.0
chr1	72917679	72917903	72917791.0	-119782.5
chr1	73710101	73710459	73710280.0	616635.5
chr1	74013004	74013601	74013302.5	-318128.0
chr1	74157849	74158181	74158015.0	-173415.5
chr1	74226175	74226585	74226380.0	-105050.5
chr1	74408445	74408789	74408617.0	-53268.5
chr1	74629217	74629580	74629398.5	-18438.0
chr1	74819704	74820015	74819859.5	-43801.5
chr1	75026600	75026877	75026738.5	-94730.5
chr1	75188178	75189012	75188595.0	23248.0
chr1	75358417	75358677	75358547.0	44570.0
chr1	75395297	75395704	75395500.5	-80291.5
chr1	75491833	75492046	75491939.5	16147.5
chr1	75514595	75515036	75514815.5	39023.5
chr1	75585347	75585982	75585664.5	109872.5
chr1	75598317	75598670	75598493.5	122701.5
chr1	75639182	75639349	75639265.5	163473.5
chr1	75801097	75801400	75801248.5	325456.5
chr1	77256381	77256692	77256536.5	-38999.0
chr1	77443617	77444034	77443825.5	-67941.5
chr1	77469245	77469527	77469386.0	-42381.0
chr1	77528836	77529185	77529010.5	17243.5
chr1	77558467	77558680	77558573.5	46806.5
chr1	77582113	77582451	77582282.0	70515.0
chr1	77626502	77626884	77626693.0	114926.0
chr1	77927361	77927530	77927445.5	415678.5
chr1	78005399	78005815	78005607.0	-479862.5
chr1	78116518	78116819	78116668.5	-368801.0
chr1	78140038	78140311	78140174.5	-345295.0
chr1	78645875	78646151	78646013.0	160543.5
chr1	78683530	78683734	78683632.0	198162.5
chr1	78843151	78843341	78843246.0	357776.5
chr1	79436484	79436906	79436695.0	-590243.0
chr1	79871330	79871655	79871492.5	-155445.5
chr1	80405178	80405384	80405281.0	68328.0
chr1	80501431	80501656	80501543.5	164590.5
chr1	80719340	80719528	80719434.0	382481.0
chr1	81297389	81297604	81297496.5	960543.5
chr1	81304069	81304264	81304166.5	967213.5
chr1	81306763	81306961	81306862.0	969909.0
chr1	81513236	81513431	81513333.5	-766592.5
chr1	82378613	82378826	82378719.5	8109.0
chr1	82430003	82430246	82430124.5	59514.0
chr1	82756218	82756416	82756317.0	-65752.5
chr1	82783974	82784376	82784175.0	-37894.5
chr1	82800283	82800480	82800381.5	-21688.0
chr1	82823365	82823858	82823611.5	1542.0
chr1	82996998	82997243	82997120.5	175051.0
chr1	83061437	83061654	83061545.5	239476.0
chr1	83183829	83184035	83183932.0	361862.5
chr1	83733095	83733274	83733184.5	911115.0
chr1	83742707	83742891	83742799.0	920729.5
chr1	83807831	83808055	83807943.0	985873.5
chr1	84173372	84174073	84173722.5	-662233.0
chr1	84202354	84202638	84202496.0	-633459.5
chr1	84276820	84277048	84276934.0	-559021.5
chr1	84546153	84546504	84546328.5	-289627.0
chr1	84578472	84578697	84578584.5	-257371.0
chr1	85077346	85077807	85077576.5	241621.0
chr1	85111387	85111609	85111498.0	275542.5
chr1	85176121	85176591	85176356.0	340400.5
chr1	85319784	85320197	85319990.5	484035.0
chr1	87633143	87633352	87633247.5	783.0
chr1	87749963	87750173	87750068.0	117603.5
chr1	88268645	88268820	88268732.5	32531.0
chr1	88326617	88326994	88326805.5	-49052.0
chr1	88346559	88346905	88346732.0	-29125.5
chr1	88363962	88364346	88364154.0	-11703.5
chr1	89438258	89438555	89438406.5	-95707.0
chr1	89534144	89534399	89534271.5	158.0
chr1	89662904	89663121	89663012.5	53988.0
chr1	90198276	90198499	90198387.5	96079.0
chr1	90353325	90353561	90353443.0	-35321.5
chr1	90641887	90642093	90641990.0	253225.5
chr1	90820767	90821153	90820960.0	-145868.5
chr1	90846462	90846800	90846631.0	-120197.5
chr1	90911983	90912345	90912164.0	-54664.5
chr1	91006375	91006683	91006529.0	39700.5
chr1	91241203	91241405	91241304.0	-109998.5
chr1	91660542	91660875	91660708.5	309406.0
chr1	93816838	93817159	93816998.5	461161.0
chr1	93858880	93859112	93858996.0	503158.5
chr1	94015897	94016337	94016117.0	-354283.5
chr1	94328584	94329054	94328819.0	-41581.5
chr1	94791746	94791979	94791862.5	-39369.5
chr1	94977621	94977861	94977741.0	146509.0
chr1	95011651	95012043	95011847.0	180615.0
chr1	95120563	95120882	95120722.5	-81663.0
chr1	95239047	95239584	95239315.5	36930.0
chr1	95270204	95270565	95270384.5	67999.0
chr1	95504125	95504617	95504371.0	-146917.5
chr1	95634311	95634697	95634504.0	-16784.5
chr1	95639575	95639754	95639664.5	-11624.0
chr1	95698238	95698841	95698539.5	-2184.5
chr1	95706584	95706977	95706780.5	6056.5
chr1	95780417	95780743	95780580.0	58747.5
chr1	95794025	95794407	95794216.0	72383.5
chr1	95847735	95848051	95847893.0	126060.5
chr1	95975736	95976006	95975871.0	254038.5
chr1	96239074	96239723	96239398.5	-127146.5
chr1	96253615	96253937	96253776.0	-112769.0
chr1	96366457	96366639	96366548.0	3.0
chr1	96626249	96626416	96626332.5	-128888.5
chr1	97169906	97170349	97170127.5	-394148.5
chr1	97348481	97348649	97348565.0	-215711.0
chr1	97397290	97397605	97397447.5	-166828.5
chr1	97658947	97659115	97659031.0	94755.0
chr1	97868796	97868990	97868893.0	304617.0
chr1	98230637	98231063	98230850.0	666574.0
chr1	98643322	98643679	98643500.5	-1023088.5
chr1	98770987	98771625	98771306.0	-895283.0
chr1	98772597	98773085	98772841.0	-893748.0
chr1	98776744	98777105	98776924.5	-889664.5
chr1	98915635	98915841	98915738.0	-750851.0
chr1	98935201	98935421	98935311.0	-731278.0
chr1	99543699	99543908	99543803.5	-122785.5
chr1	99585431	99585663	99585547.0	-81042.0
chr1	99623398	99623604	99623501.0	-43088.0
chr1	99690624	99691070	99690847.0	24258.0
chr1	99983053	99983444	99983248.5	-8957.5
chr1	100075727	100075920	100075823.5	83617.5
chr1	100246965	100247140	100247052.5	254846.5
chr1	100336787	100337084	100336935.5	344729.5
chr1	100372613	100373360	100372986.5	380780.5
chr1	100563893	100564718	100564305.5	572099.5
chr1	100645541	100645758	100645649.5	653443.5
chr1	101487311	101487711	101487511.0	-589313.5
chr1	101804445	101804689	101804567.0	-272257.5
chr1	102076663	102076983	102076823.0	-1.5
chr1	102128235	102128400	102128317.5	51493.0
chr1	102342871	102343226	102343048.5	266224.0
chr1	102406390	102406869	102406629.5	329805.0
chr1	102453572	102453857	102453714.5	376890.0
chr1	102462688	102462882	102462785.0	385960.5
chr1	102684396	102684685	102684540.5	607716.0
chr1	102774634	102775309	102774971.5	698147.0
chr1	102783987	102784206	102784096.5	707272.0
chr1	103525012	103525407	103525209.5	-999617.5
chr1	103815233	103816126	103815679.5	-709147.5
chr1	104161070	104161437	104161253.5	-363573.5
chr1	104200133	104200451	104200292.0	-324535.0
chr1	104524733	104524944	104524838.5	11.5
chr1	104721681	104721953	104721817.0	196990.0
chr1	104990527	104990869	104990698.0	465871.0
chr1	105269442	105269747	105269594.5	744767.5
chr1	105883517	105883747	105883632.0	1358805.0
chr1	106506075	106506304	106506189.5	1981362.5
chr1	106882890	106883110	106883000.0	-1706374.5
chr1	107319967	107320343	107320155.0	-1269219.5
chr1	107418912	107419276	107419094.0	-1170280.5
chr1	107460513	107460673	107460593.0	-1128781.5
chr1	107556692	107556888	107556790.0	-1032584.5
chr1	107631926	107632198	107632062.0	-957312.5
chr1	107787703	107787928	107787815.5	-801559.0
chr1	107967899	107968116	107968007.5	-621367.0
chr1	108048386	108048617	108048501.5	-540873.0
chr1	108067583	108070227	108068905.0	-520469.5
chr1	108087304	108087672	108087488.0	-501886.5
chr1	108096219	108096604	108096411.5	-492963.0
chr1	108100904	108101256	108101080.0	-488294.5
chr1	108269026	108269309	108269167.5	-320207.0
chr1	108286400	108286633	108286516.5	-302858.0
chr1	108291988	108292405	108292196.5	-297178.0
chr1	108408216	108408456	108408336.0	-181038.5
chr1	108525395	108525592	108525493.5	-63881.0
chr1	108632280	108632475	108632377.5	-23695.0
chr1	108634749	108634952	108634850.5	-21222.0
chr1	108692681	108693486	108693083.5	37011.0
chr1	108780368	108780758	108780563.0	124490.5
chr1	108798115	108798358	108798236.5	142164.0
chr1	108876207	108876502	108876354.5	220282.0
chr1	108911163	108911408	108911285.5	255213.0
chr1	109024122	109024322	109024222.0	368149.5
chr1	109139875	109140104	109139989.5	483917.0
chr1	109249697	109249911	109249804.0	593731.5
chr1	109450769	109450999	109450884.0	794811.5
chr1	109495164	109495373	109495268.5	839196.0
chr1	109874923	109875328	109875125.5	1219053.0
chr1	110723891	110724131	110724011.0	2067938.5
chr1	110881615	110881969	110881792.0	2225719.5
chr1	110930955	110931277	110931116.0	2275043.5
chr1	111224693	111225022	111224857.5	2568785.0
chr1	111838740	111839081	111838910.5	3182838.0
chr1	111882096	111882378	111882237.0	3226164.5
chr1	112430302	112430495	112430398.5	3774326.0
chr1	112687024	112687790	112687407.0	4031334.5
chr1	113139045	113139219	113139132.0	4483059.5
chr1	113530778	113530965	113530871.5	4874799.0
chr1	113720621	113720868	113720744.5	5064672.0
chr1	113722561	113722958	113722759.5	5066687.0
chr1	114274494	114274703	114274598.5	5618526.0
chr1	114275181	114275589	114275385.0	5619312.5
chr1	114276406	114276840	114276623.0	5620550.5
chr1	114312990	114313706	114313348.0	5657275.5
chr1	115855726	115856251	115855988.5	-4351760.5
chr1	116745569	116746898	116746233.5	-3461515.5
chr1	116858408	116858795	116858601.5	-3349147.5
chr1	117030938	117031215	117031076.5	-3176672.5
chr1	117498024	117498251	117498137.5	-2709611.5
chr1	117583155	117583346	117583250.5	-2624498.5
chr1	117740111	117740631	117740371.0	-2467378.0
chr1	117966837	117967161	117966999.0	-2240750.0
chr1	118180637	118180952	118180794.5	-2026954.5
chr1	118374360	118374595	118374477.5	-1833271.5
chr1	118951396	118951705	118951550.5	-1256198.5
chr1	119189751	119190192	119189971.5	-1017777.5
chr1	119251284	119251490	119251387.0	-956362.0
chr1	119309041	119309235	119309138.0	-898611.0
chr1	119355667	119356062	119355864.5	-851884.5
chr1	119712615	119713361	119712988.0	-494761.0
chr1	120171810	120172039	120171924.5	-35824.5
chr1	120207350	120208228	120207789.0	40.0
chr1	120319353	120319768	120319560.5	-36367.5
chr1	120435646	120435978	120435812.0	79884.0
chr1	120668927	120669200	120669063.5	313135.5
chr1	120807675	120808081	120807878.0	451950.0
chr1	121016495	121016801	121016648.0	-406115.0
chr1	121063984	121064560	121064272.0	-358491.0
chr1	121253543	121253846	121253694.5	-169068.5
chr1	121477957	121478257	121478107.0	55344.0
chr1	121531336	121531743	121531539.5	-13694.5
chr1	121538969	121539311	121539140.0	-6094.0
chr1	121571685	121571841	121571763.0	26529.0
chr1	121733568	121734506	121734037.0	188803.0
chr1	121929607	121929905	121929756.0	-87882.0
chr1	121982310	121982612	121982461.0	-35177.0
chr1	122093811	122094066	122093938.5	76300.5
chr1	122582528	122582735	122582631.5	564993.5
chr1	122594880	122595069	122594974.5	577336.5
chr1	122655989	122656361	122656175.0	-568149.0
chr1	122691912	122692094	122692003.0	-532321.0
chr1	123085596	123085756	123085676.0	-138648.0
chr1	123217142	123217379	123217260.5	-7063.5
chr1	123271586	123271861	123271723.5	47399.5
chr1	123315789	123315977	123315883.0	91559.0
chr1	123356742	123357005	123356873.5	132549.5
chr1	123474082	123474451	123474266.5	249942.5
chr1	123595597	123595775	123595686.0	371362.0
chr1	123605001	123605234	123605117.5	380793.5
chr1	123700030	123700206	123700118.0	475794.0
chr1	123800694	123800875	123800784.5	-452985.0
chr1	123904402	123904629	123904515.5	-349254.0
chr1	124224886	124225428	124225157.0	-28612.5
chr1	124248251	124248415	124248333.0	-5436.5
chr1	124253662	124253864	124253763.0	-6.5
chr1	124336023	124336258	124336140.5	82371.0
chr1	124644701	124644896	124644798.5	391029.0
chr1	124652156	124652361	124652258.5	398489.0
chr1	124899942	124900109	124900025.5	646256.0
chr1	125871293	125871478	125871385.5	-1585970.5
chr1	125999709	125999914	125999811.5	-1457544.5
chr1	126195009	126195186	126195097.5	-1262258.5
chr1	126346812	126347016	126346914.0	-1110442.0
chr1	126571115	126571328	126571221.5	-886134.5
chr1	126614762	126614986	126614874.0	-842482.0
chr1	127267433	127267672	127267552.5	-189803.5
chr1	127429559	127430524	127430041.5	-27314.5
chr1	127470929	127471099	127471014.0	13658.0
chr1	127504059	127504301	127504180.0	46824.0
chr1	127535586	127535920	127535753.0	78397.0
chr1	127565721	127565911	127565816.0	108460.0
chr1	128064720	128065071	128064895.5	-149825.5
chr1	128393409	128393615	128393512.0	178791.0
chr1	128465525	128465743	128465634.0	250913.0
chr1	128777430	128777738	128777584.0	562863.0
chr1	128812948	128813348	128813148.0	598427.0
chr1	128828417	128828624	128828520.5	613799.5
chr1	129576452	129576702	129576577.0	-76825.5
chr1	129693407	129693634	129693520.5	40118.0
chr1	129801387	129801935	129801661.0	66434.0
chr1	129897225	129898136	129897680.5	-68116.5
chr1	130119995	130120192	130120093.5	120398.5
chr1	130240897	130241117	130241007.0	-216622.0
chr1	130265324	130265534	130265429.0	-192200.0
chr1	130288836	130289460	130289148.0	-168481.0
chr1	130291278	130291512	130291395.0	-166234.0
